Gene,Region,N_papers,SCZ_mechanism,References
AJAP1,DFC,1,"Novel candidate gene for schizophrenia susceptibility and risperidone treatment response, identified via integrated pharmacogenomic, mouse expression, and genetic case-control analysis; AJAP1 (adherens junction associated protein 1) may contribute to neurodevelopmental processes underlying SCZ.",19850283
AKAP9,DFC,3,"AKAP9 harbors rare coding variants significantly associated with schizophrenia risk, identified through resequencing of DISC1-interactome genes; AKAP9 is a DISC1 binding partner involved in neuronal cAMP signaling and neurodevelopmental processes underlying SCZ.",25943950|24940743|23909765
ARID4A,DFC,1,"A novel heterozygous missense variant in ARID4A was identified in Han Chinese families with schizophrenia-diagnosed siblings, disrupting DNA-binding activity; ARID4A is an AT-rich interaction domain chromatin regulator, implicating epigenetic dysregulation in SCZ.",35365808
CNTNAP5,DFC,5,"CNTNAP5 was identified as one of five novel loci in a GWAS of antipsychotic treatment response in schizophrenia; as a neurexin superfamily cell adhesion molecule, CNTNAP5 likely contributes to synaptic organization and neurodevelopmental processes underlying SCZ treatment response variability.",29503163|30883267|19721433|24387768|20451256
DNM3,DFC,2,"Dynamin 3 (DNM3) shows copy number variation in brain tissue of schizophrenia patients and shares polygenic risk with OCD; as a GTPase mediating synaptic vesicle endocytosis, altered DNM3 may disrupt neurotransmitter recycling relevant to SCZ presynaptic dysfunction.",26136833|27023174
ENTPD4,DFC,1,"ENTPD4 polymorphisms were directly tested for schizophrenia susceptibility in a pharmacogenomic study based on methamphetamine/PCP-reactive gene expression tags; as an ectonucleoside triphosphate diphosphohydrolase, ENTPD4 regulates extracellular nucleotide levels relevant to purinergic neurotransmission in SCZ.",20537721
GPR12,DFC,3,GPR12 is a brain-specific orphan GPCR identified as an emerging therapeutic target in schizophrenia that modulates dopaminergic and related CNS signaling pathways; molecular studies identify GPR12 as directly relevant to the dopaminergic dysfunction underlying SCZ symptomatology.,37605621|37422169|35484098
IPO5,DFC,1,"IPO5 (importin 5) shows genetic association with schizophrenia in family and case-control samples; abnormal expression and alternative splicing of IPO5 in SCZ may disrupt nucleocytoplasmic transport in neurons, implicating defective RNA processing and neurodevelopmental gene expression in SCZ pathophysiology.",20542336
KPNA1,DFC,4,"De novo mutations in KPNA1 (importin α5) are linked to schizophrenia; KPNA1-deficient mice display psychiatric disorder-associated behaviors and synaptic dysfunction; KPNA1 mediates nucleocytoplasmic transport critical for neuronal differentiation, synaptic function, and axonal transport in SCZ.",23425335|34767585|38336912|40010609
LRRTM3,DFC,1,"LRRTM3 belongs to the LRRTM family of postsynaptic adhesion proteins that bind neurexins at synapses to regulate synaptic organization; mutations in LRRTM and neurexin genes are implicated in schizophrenia and autism, linking LRRTM3 to neurodevelopmental processes underlying SCZ.",24587117
NLGN1,DFC,5+,"NLGN1 polymorphisms are directly associated with schizophrenia susceptibility via cell adhesion molecules pathway analysis in the Chinese Han population; as a postsynaptic neuroligin critical for glutamatergic synapse formation and plasticity, NLGN1 dysfunction links synaptic and neurodevelopmental mechanisms in SCZ.",26674772|41097092|37004758|37777856|36253440
NSD2,DFC,1,NSD2 encodes a histone H3K36 dimethyltransferase whose variants interact with H3F3B to increase schizophrenia susceptibility in a Chinese population; this histone modification pathway implicates epigenetic dysregulation of chromatin organization and gene expression in SCZ pathophysiology.,32169559
NTRK3,DFC,5+,"NTRK3 (TrkC) polymorphisms are associated with hippocampal function and schizophrenia risk across multiple genetic studies; as a neurotrophin-3 receptor, NTRK3 mediates neuronal survival, differentiation, and synaptic plasticity, and has been implicated in SCZ through hippocampal neurodevelopmental mechanisms.",19344762|20554328|34412503|24936775|26410934
PAFAH1B1,DFC,4,"PAFAH1B1 (LIS1), a critical regulator of neuronal migration and dynein motor activity, shows reduced expression in schizophrenia brain tissue as a DISC1-interacting protein; LIS1 deficiency disrupts cortical organization and neuronal migration, contributing to neurodevelopmental deficits in SCZ.",16510495|27239468|20084519|31805691
PCDH7,DFC,5+,"PCDH7 was identified as a novel locus in a GWAS of antipsychotic treatment response in schizophrenia patients and in chromosome 4 high-density association screens; as a non-clustered protocadherin, PCDH7 mediates synaptic adhesion and axon guidance critical to neurodevelopmental processes in SCZ.",29503163|36876478|30381832|40870033|21173574
PGRMC1,DFC,5+,"PGRMC1 (sigma-2 receptor) is inhibited by clozapine in treatment-resistant schizophrenia, directly inducing mitochondrial dysfunction and cognitive impairment in neuronal cells; PGRMC1 modulates mitochondrial bioenergetics and lipid metabolism, implicating it in the mitochondrial dysfunction associated with SCZ pathophysiology.",37087062|40588078|37047353|38325638|37019375
RIMS2,DFC,2,"RIMS2 expression is significantly increased in the amygdala of schizophrenia patients; as a presynaptic cytomatrix active zone protein, RIMS2 regulates synaptic vesicle priming and neurotransmitter release, consistent with active zone remodeling and presynaptic dysfunction in SCZ.",18490030|31153890
ROCK2,DFC,3,"ROCK2 regulates actin cytoskeleton dynamics and dendritic spine morphology; selective ROCK2 inhibition produces antipsychotic-like effects in genetic SCZ mouse models, and RhoA/ROCK2 pathway hyperactivation is driven by ARHGAP10 copy number variants significantly associated with schizophrenia.",27054047|41922796|41168987
SBNO1,DFC,3,"SBNO1 (strawberry notch homolog 1) regulates neurite outgrowth in cortical neurons, and genomic structural variants in SBNO1 are linked to neurodevelopmental disorders including intellectual disability and schizophrenia; SBNO1 is implicated in cortical neurodevelopment and neuronal connectivity underlying SCZ pathophysiology.",36057539|25626716|37269009
UBE2K,DFC,3,"UBE2K protein levels are significantly elevated in blood and brain of individuals with schizophrenia, correlating with positive symptom severity; UBE2K mediates ubiquitin-proteasome system (UPS) activity regulating synaptic protein turnover, and UPS dysfunction contributing to presynaptic vesicle cycling abnormalities has been implicated in SCZ.",30901725|20552680|35543802
UBE2N,DFC,1,"UBE2N (ubiquitin-conjugating enzyme E2N) shows altered expression in the dorsolateral prefrontal cortex of schizophrenia patients in gene expression profiling; as a ubiquitin-conjugating enzyme, UBE2N dysregulation may contribute to abnormal protein turnover in prefrontal circuits relevant to SCZ cognitive deficits.",12363385
UNC13C,DFC,2,"UNC13C (Munc13-3) is a presynaptic priming factor for synaptic vesicle exocytosis; the UNC13 protein family is implicated in schizophrenia pathogenesis through regulation of neurotransmitter release, and dysregulation of presynaptic exocytosis machinery including UNC13 proteins is observed in glutamatergic deficit models of SCZ.",38188011|25139798
