Gene,Region,N_papers,SCZ_mechanism,References,References_verified,SCZ_involvement_verified,Agent3_resolution
AJAP1,DFC,1,"Novel candidate gene for schizophrenia susceptibility and risperidone treatment response, identified via integrated pharmacogenomic, mouse expression, and genetic case-control analysis; AJAP1 (adherens junction associated protein 1) may contribute to neurodevelopmental processes underlying SCZ.",19850283,Y,Y,Confirmed
AKAP9,DFC,3,"AKAP9 harbors rare coding variants significantly associated with schizophrenia risk, identified through resequencing of DISC1-interactome genes; AKAP9 is a DISC1 binding partner involved in neuronal cAMP signaling and neurodevelopmental processes underlying SCZ.",25943950|24940743|23909765,Y,Y,Confirmed
ARID4A,DFC,1,"A novel heterozygous missense variant in ARID4A was identified in Han Chinese families with schizophrenia-diagnosed siblings, disrupting DNA-binding activity; ARID4A is an AT-rich interaction domain chromatin regulator, implicating epigenetic dysregulation in SCZ.",35365808,Y,Y,Confirmed
CNTNAP5,DFC,5,"CNTNAP5 was identified as one of five novel loci in a GWAS of antipsychotic treatment response in schizophrenia; as a neurexin superfamily cell adhesion molecule, CNTNAP5 likely contributes to synaptic organization and neurodevelopmental processes underlying SCZ treatment response variability.",29503163|30883267|19721433|24387768|20451256,Y with note (PMIDs 24387768 and 20451256 are BD GWAS papers with SCZ genetic overlap; direct SCZ GWAS support from 29503163 and 19721433),Y,Confirmed — core SCZ GWAS evidence (PMIDs 29503163 and 19721433) directly supports antipsychotic treatment response locus in schizophrenia; BD overlap PMIDs provide supporting genetic context; included by rule 1
DNM3,DFC,2,"Dynamin 3 (DNM3) shows copy number variation in brain tissue of schizophrenia patients and shares polygenic risk with OCD; as a GTPase mediating synaptic vesicle endocytosis, altered DNM3 may disrupt neurotransmitter recycling relevant to SCZ presynaptic dysfunction.",26136833|27023174,Y,Y with note (evidence is CNV in SCZ brain and OCD/SCZ polygenic overlap; no direct functional SCZ mechanism paper; mechanistic link is inferred from DNM3 role in synaptic vesicle endocytosis),"Confirmed — both Agent 1 and Agent 2 agree that DNM3 shows altered copy number in SCZ brain tissue (PMID 26136833) and shares polygenic risk architecture with OCD in context of SCZ (PMID 27023174); dynamin-mediated endocytosis is a validated SCZ-relevant pathway; included by rule 1 (both agents agree SCZ involvement is supported by verified evidence)"
ENTPD4,DFC,1,"ENTPD4 polymorphisms were directly tested for schizophrenia susceptibility in a pharmacogenomic study based on methamphetamine/PCP-reactive gene expression tags; as an ectonucleoside triphosphate diphosphohydrolase, ENTPD4 regulates extracellular nucleotide levels relevant to purinergic neurotransmission in SCZ.",20537721,Y,Y,Confirmed
GPR12,DFC,3,"GPR12 is a brain-specific orphan GPCR identified as an emerging therapeutic target in schizophrenia that modulates dopaminergic and related CNS signaling pathways; molecular studies identify GPR12 as directly relevant to the dopaminergic dysfunction underlying SCZ symptomatology.",37605621|37422169|35484098,Y,Y,Confirmed
IPO5,DFC,1,"IPO5 (importin 5) shows genetic association with schizophrenia in family and case-control samples; abnormal expression and alternative splicing of IPO5 in SCZ may disrupt nucleocytoplasmic transport in neurons, implicating defective RNA processing and neurodevelopmental gene expression in SCZ pathophysiology.",20542336,Y,Y,Confirmed
KPNA1,DFC,4,"De novo mutations in KPNA1 (importin α5) are linked to schizophrenia; KPNA1-deficient mice display psychiatric disorder-associated behaviors and synaptic dysfunction; KPNA1 mediates nucleocytoplasmic transport critical for neuronal differentiation, synaptic function, and axonal transport in SCZ.",23425335|34767585|38336912|40010609,Y,Y,Confirmed
LRRTM3,DFC,1,"LRRTM3 belongs to the LRRTM family of postsynaptic adhesion proteins that bind neurexins at synapses to regulate synaptic organization; mutations in LRRTM and neurexin genes are implicated in schizophrenia and autism, linking LRRTM3 to neurodevelopmental processes underlying SCZ.",24587117,Y with note (paper is evolutionary study; SCZ implication is stated for the LRRTM family broadly rather than LRRTM3 specifically),Y with note (SCZ involvement inferred from family-level LRRTM/neurexin literature; no LRRTM3-specific functional SCZ paper),"Confirmed — independent investigation confirms LRRTM1 and LRRTM2 have direct SCZ genetic evidence; LRRTM3 shares the neurexin-binding postsynaptic adhesion function; PMID 24587117 is verified real and explicitly states LRRTM mutations implicate the family in SCZ; rule 3 tiebreaker applies (PMID verified real by both agents); included as neurodevelopmental/synaptic adhesion candidate"
