Gene,Gene_name,In_OMIM,In_OpenTargets_Platform,OpenTargets_score,OpenTargets_sources,In_ClinVar,In_SZDB,Databases
A3GALT2,"alpha 1,3-galactosyltransferase 2",N,Y,0.09353932034400413,gwas_credible_sets,N,N,OpenTargets_Platform
ABCA13,ATP binding cassette subfamily A member 13,Y,Y,0.27119324917087145,eva|europepmc,Y,N,OMIM|OpenTargets_Platform|ClinVar
ABCB1,ATP binding cassette subfamily B member 1,N,Y,0.16170432929216066,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
ABCB4,ATP binding cassette subfamily B member 4,N,Y,0.11087395640541053,eva,Y,N,OpenTargets_Platform|ClinVar
ABCB9,ATP binding cassette subfamily B member 9,N,Y,0.10961263884229774,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),N,Y,0.045025267148429915,gwas_credible_sets,N,N,OpenTargets_Platform
ABCF3,ATP binding cassette subfamily F member 3,N,Y,0.04070517118886358,gwas_credible_sets,N,N,OpenTargets_Platform
ACADS,acyl-CoA dehydrogenase short chain,N,Y,0.2076139706709906,gwas_credible_sets,N,N,OpenTargets_Platform
ACE,angiotensin I converting enzyme,N,Y,0.44573304279191317,gwas_credible_sets|europepmc|impc,N,N,OpenTargets_Platform
ACER2,alkaline ceramidase 2,N,Y,0.024442974781896814,gwas_credible_sets,N,N,OpenTargets_Platform
ACHE,acetylcholinesterase (Yt blood group),N,Y,0.3252720546314883,clinical_precedence|europepmc,N,N,OpenTargets_Platform
ACTBL2,actin beta like 2,N,Y,0.2377441058770879,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
ACTC1,actin alpha cardiac muscle 1,N,Y,0.1420904498058195,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
ACTL6B,actin like 6B,N,Y,0.018785570223230755,gwas_credible_sets,N,N,OpenTargets_Platform
ACTR1A,actin related protein 1A,N,Y,0.03609837333591602,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
ACTR1B,actin related protein 1B,N,Y,0.06231024225657371,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
ACTR5,actin related protein 5,N,Y,0.33926054115864274,gwas_credible_sets,N,N,OpenTargets_Platform
