Run,analyte_type,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,biospecimen_repository,biospecimen_repository_sample_id,body_site,Bytes,Center Name,Consent_Code,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gap_accession,gap_parent_phs,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,study_design,study_name,submitted_subject_id,alignment_software (exp),AssemblyName,region
SRR3583469,cytosolic mRNA,RNA-Seq,75,3340513050,PRJNA242448,SAMN04094359,Spatiotemporal_Transcriptome_Brain,HSB103_DFC_R_mRNA,Dorsolateral prefrontal cortex,1360005651,NIMH-PHS000731,1,GRU,"sra,run.zq,bam","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.dbgap",SRX1797839,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB103_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:41:00Z,1,HSB103_DFC_R_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB103,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583482,cytosolic mRNA,RNA-Seq,75,4453577775,PRJNA242448,SAMN04094442,Spatiotemporal_Transcriptome_Brain,HSB105_DFC_L_mRNA,Dorsolateral prefrontal cortex,1919016105,NIMH-PHS000731,1,GRU,"bam,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX1797852,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB105_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:44:00Z,1,HSB105_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB105,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583496,cytosolic mRNA,RNA-Seq,75,4707648675,PRJNA242448,SAMN04094545,Spatiotemporal_Transcriptome_Brain,HSB107_DFC_L_mRNA,Dorsolateral prefrontal cortex,2445856347,NIMH-PHS000731,1,GRU,"sra,bam,run.zq","gs,ncbi,s3","ncbi.dbgap,gs.US,s3.us-east-1",SRX1797866,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB107_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:45:00Z,1,HSB107_DFC_L_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB107,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583511,cytosolic mRNA,RNA-Seq,75,2641564125,PRJNA242448,SAMN04094201,Spatiotemporal_Transcriptome_Brain,HSB112_DFC_R_mRNA,Dorsolateral prefrontal cortex,1014159332,NIMH-PHS000731,1,GRU,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.dbgap",SRX1797881,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB112_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:43:00Z,1,HSB112_DFC_R_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB112,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583528,cytosolic mRNA,RNA-Seq,75,3782260725,PRJNA242448,SAMN04094315,Spatiotemporal_Transcriptome_Brain,HSB113_DFC_R_mRNA,Dorsolateral prefrontal cortex,1629582510,NIMH-PHS000731,1,GRU,"sra,bam,run.zq","ncbi,s3","s3.us-east-1,ncbi.dbgap",SRX1797898,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB113_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2022-10-17T13:57:00Z,2,HSB113_DFC_R_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB113,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583542,cytosolic mRNA,RNA-Seq,75,3923279550,PRJNA242448,SAMN04094723,Spatiotemporal_Transcriptome_Brain,HSB114_DFC_L_mRNA,Dorsolateral prefrontal cortex,1692468812,NIMH-PHS000731,1,GRU,"bam,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.dbgap,gs.US",SRX1797912,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB114_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:46:00Z,1,HSB114_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB114,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583557,cytosolic mRNA,RNA-Seq,75,3620756025,PRJNA242448,SAMN04094310,Spatiotemporal_Transcriptome_Brain,HSB118_DFC_R_mRNA,Dorsolateral prefrontal cortex,1742115920,NIMH-PHS000731,1,GRU,"sra,bam,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.dbgap,gs.US",SRX1797927,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB118_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:59:00Z,1,HSB118_DFC_R_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB118,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583573,cytosolic mRNA,RNA-Seq,75,3589321425,PRJNA242448,SAMN04094619,Spatiotemporal_Transcriptome_Brain,HSB119_DFC_L_mRNA,Dorsolateral prefrontal cortex,1912052590,NIMH-PHS000731,1,GRU,"bam,run.zq,sra","ncbi,gs,s3","ncbi.dbgap,s3.us-east-1,gs.US",SRX1797943,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB119_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:47:00Z,1,HSB119_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB119,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583587,cytosolic mRNA,RNA-Seq,75,4079723250,PRJNA242448,SAMN04094584,Spatiotemporal_Transcriptome_Brain,HSB121_DFC_R_mRNA,Dorsolateral prefrontal cortex,1638577276,NIMH-PHS000731,1,GRU,"sra,bam,run.zq","ncbi,s3,gs","ncbi.dbgap,s3.us-east-1,gs.US",SRX1797957,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB121_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:55:00Z,1,HSB121_DFC_R_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB121,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583603,cytosolic mRNA,RNA-Seq,75,3814595850,PRJNA242448,SAMN04094651,Spatiotemporal_Transcriptome_Brain,HSB122_DFC_R_mRNA,Dorsolateral prefrontal cortex,1548437774,NIMH-PHS000731,1,GRU,"sra,bam,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.dbgap,gs.US",SRX1797973,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB122_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:58:00Z,1,HSB122_DFC_R_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB122,STAR 2.4.0e,GCA_000001405.16,DFC
