individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay,exclude,excludeReason,samplingDate,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,notes
R9976232,510_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.5,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9936070,207_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.2,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9907075,81_120417,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.3,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9905342,649_120529,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9904978,487_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9818080,182_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.4,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9817161,193_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.1,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9817056,694_120605,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.1,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9809661,366_120502,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R9809441,52_120416,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.4,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
